Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Education_Field,Employee_Number,Environment_Satisfaction,Gender,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Monthly_Income,Num_Companies_Worked,Over_Time,Percent_Salary_Hike,Performance_Rating,Relationship_Satisfaction,Stock_Option_Level,Total_Working_Years,Training_Times_Last_Year,Work_Life_Balance,Years_At_Company,Years_In_Current_Role,Years_Since_Last_Promotion,Years_With_Curr_Manager
41,Yes,Travel Rarely,Sales,1,2,Life Sciences,1,2,Female,3,2,Sales Executive,4,Single,5993.0,8,Yes,11,3,1,0,8,0,1,6,4,0,5
49,No,Travel Frequently,Research & Development,8,1,Life Sciences,2,3,Male,2,2,Research Scientist,2,Married,5130.0,1,No,23,4,4,1,10,3,3,10,7,1,7
37,Yes,Travel Rarely,Research & Development,2,2,Other,4,4,Male,2,1,Laboratory Technician,3,Single,2090.0,6,Yes,15,3,2,0,7,3,3,0,0,0,0
33,No,Travel Frequently,Research & Development,3,4,Life Sciences,5,4,Female,3,1,Research Scientist,3,Married,2909.0,1,Yes,11,3,3,0,8,3,3,8,7,3,0
27,No,Travel Rarely,Research & Development,2,1,Medical,7,1,Male,3,1,Laboratory Technician,2,Married,3468.0,9,No,12,3,4,1,6,3,3,2,2,2,2
32,No,Travel Frequently,Research & Development,2,2,Life Sciences,8,4,Male,3,1,Laboratory Technician,4,Single,3068.0,0,No,13,3,3,0,8,2,2,7,7,3,6
59,No,Travel Rarely,Research & Development,3,3,Medical,10,3,Female,4,1,Laboratory Technician,1,Married,2670.0,4,Unknown,20,4,1,3,12,3,2,1,0,0,2
30,No,Travel Rarely,Research & Development,24,1,Life Sciences,11,4,Male,3,1,Laboratory Technician,3,Divorced,2693.0,1,No,22,4,2,1,1,2,3,1,0,0,0
38,No,Travel Frequently,Research & Development,23,3,Life Sciences,12,4,Male,2,3,Manufacturing Director,3,Single,9526.0,0,No,21,4,2,0,10,2,3,9,7,1,8
36,No,Travel Rarely,Research & Development,27,3,Life Sciences,13,3,Male,3,2,Healthcare Representative,3,Married,5237.0,6,No,13,3,2,2,17,3,2,7,7,7,3
35,No,Travel Rarely,Research & Development,16,3,Medical,14,1,Male,4,1,Laboratory Technician,4,Married,2426.0,0,No,13,3,3,1,6,5,3,5,4,0,3
29,No,Travel Rarely,Research & Development,15,2,Life Sciences,15,4,Female,2,2,Laboratory Technician,3,Married,4193.0,0,Yes,12,3,4,0,10,3,3,9,5,0,3
